,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
101,1351,4,4211.9,9,-18,-4,0,1,0,0,7.208601,8.345669
102,1391,25,8489.6,9.4,-27.3,26,0,1,0,0,7.237778,9.046597
103,1245,25,12222.8,19,-20.9,52,0,1,0,0,7.126891,9.411058
104,1550,0,11213.4,3.5,-55.4,6,0,1,0,0,7.34601,9.324864
105,2150,-61,5869.6,22.1,-38,68,0,1,0,0,7.673223,8.677542
106,1846,20,6193.8,10.9,-14.7,6,0,1,0,0,7.520776,8.731304
107,573,8,3053.2,15.1,-3.8,31,0,1,0,0,6.350886,8.023946
108,6640,4,8946,10.2,87.6,34,0,1,0,0,8.800867,9.098962
109,959,49,4045.2,17.3,-7.8,51,0,1,0,0,6.865891,8.305286
110,612,39,3618.9,33.3,-10.5,68,0,1,0,0,6.416732,8.193925
111,1820,69,1796.1,22.8,12.7,115,0,1,0,0,7.506592,7.493373
112,1411,2,6703.1,11.1,-37.2,28,0,1,0,0,7.252054,8.810326
113,1026,6,2170.3,12.4,134.6,162,0,1,0,0,6.933423,7.682621
114,1287,-12,4674,20.9,84.2,-47,0,0,0,1,7.160069,8.449771
115,800,162,3372,6.7,29,60,0,0,0,1,6.684612,8.123261
116,1115,-9,8205,7.1,13.9,23,0,0,0,1,7.01661,9.012499
117,1631,33,4617,11.8,227,75,0,0,0,1,7.396949,8.4375
118,1910,23,6964,14,2.7,43,0,0,0,1,7.554859,8.848509
119,996,-3,6623,10.1,-63.6,10,0,0,1,0,6.903747,8.798304
120,918,-35,29797,6.4,-95,-28,0,0,1,0,6.822197,10.30216
121,1261,21,5225.5,12.4,-54.9,1,0,0,1,0,7.13966,8.561306
122,1053,-8,3639,17.6,-22.3,5,0,0,1,0,6.959399,8.199464
123,1221,-43,97649.9,15.1,-85.2,-7,0,0,1,0,7.107426,11.48914
124,1738,19,10743.6,23.6,11.5,36,0,0,1,0,7.46049,9.282065
125,3142,15,10236.3,35.7,27.2,155,0,0,1,0,8.052615,9.233695
126,1900,26,17802.7,23.2,-7.8,142,0,0,1,0,7.549609,9.787106
127,427,21,6158.7,12.4,-17.7,95,0,0,1,0,6.056784,8.725621
128,1700,8,6775.2,44.4,37.7,61,0,0,1,0,7.438384,8.821024
129,360,103,298.7,2.1,23.1,302,0,0,1,0,5.886104,5.69944
130,459,9,785.3,18.4,-43.1,5,0,0,1,0,6.12905,6.666066
131,1340,5,1368.6,16.1,12.6,115,0,0,1,0,7.200425,7.221544
132,729,25,2066.1,15.1,-8.4,52,0,0,1,0,6.591674,7.633418
133,223,-6,181.5,22.7,32.6,295,0,0,1,0,5.407172,5.201256
134,2101,25,10300,23.4,46.9,76,0,0,1,0,7.650169,9.2399
135,1082,28,11232,25.7,-2.4,101,0,0,1,0,6.986567,9.326522
136,1781,31,5191.6,27,141,98,0,0,1,0,7.484931,8.554797
137,791,18,976.7,19.9,-13.2,89,0,0,1,0,6.673298,6.88418
138,2092,-11,7671.5,43.7,8.5,80,0,0,1,0,7.645876,8.945268
139,1573,10,6406,16.4,-11.5,87,0,0,1,0,7.36074,8.764991
140,1045,9,2917.4,11.6,-98.9,203,0,0,1,0,6.951772,7.978448
141,1694,12,3322.9,24.8,23.9,100,0,0,1,0,7.434848,8.108593
142,453,20,175.2,26.2,35.6,418,0,0,1,0,6.115892,5.165928
143,1130,1,1686.3,44.5,3.4,99,0,0,1,0,7.029973,7.430292
144,1334,13,514.1,22.3,62.4,358,0,0,1,0,7.195937,6.242418
145,1344,13,3032.7,22.3,62.4,36,0,0,1,0,7.203405,8.017208
146,1585,5,4686.9,35.1,2.2,111,0,0,1,0,7.36834,8.452527
147,1946,45,8388.1,13.1,5.9,88,0,0,1,0,7.573531,9.03457
148,1619,9,7632.8,11,22.6,32,0,0,1,0,7.389564,8.94021
149,1620,12,17453.8,19.4,-12.8,128,0,0,1,0,7.390182,9.767313
150,967,-27,5781.1,28.5,-11,119,0,0,1,0,6.874198,8.66235
151,1431,0,6896.2,43.9,3.5,110,0,0,1,0,7.266129,8.838726
152,1231,9,6503.1,26.8,19.8,84,0,0,1,0,7.115582,8.780034
153,770,-4,2715.6,15.7,-2.5,63,0,0,1,0,6.64639,7.906768
154,1594,53,2761.9,15,27.8,85,0,0,1,0,7.374002,7.923674
155,1568,47,5181.4,28.2,-19.1,55,0,0,1,0,7.357556,8.552831
156,995,15,1323,15.4,74.6,195,0,0,1,0,6.902743,7.187657
157,1077,-16,5296,20,27.5,36,0,0,1,0,6.981935,8.574707
158,1161,9,7177,42.2,-2.8,68,0,0,1,0,7.057037,8.878636
159,1401,1,12183.5,19.6,-2.1,93,0,0,1,0,7.244942,9.407838
160,1127,4,7863.5,16.2,26,152,0,0,1,0,7.027315,8.969987
161,3068,-14,3825.6,21.5,-27.6,142,0,0,1,0,8.028781,8.249471
162,730,7,1110.6,29.5,20.5,60,0,0,1,0,6.593045,7.012656
163,729,-10,1391.3,22.6,-17.2,32,0,0,1,0,6.591674,7.237994
164,11233,17,6047.9,22.9,9.9,74,0,0,1,0,9.326612,8.707466
165,949,-11,18908,13,-46.7,-3,0,0,1,0,6.855409,9.847341
166,3646,-11,3921.5,7.8,-64.2,29,0,0,1,0,8.201385,8.274229
167,1502,212,3453.8,48.1,35.1,28,0,0,1,0,7.314553,8.14723
168,807,10,1558.5,18,-1,49,0,0,1,0,6.693324,7.351479
169,713,8,962.8,18,7.6,81,0,0,1,0,6.569481,6.869846
170,1489,0,25848,21.7,380.6,114,0,0,1,0,7.30586,10.15999
171,736,73,631.5,21.3,60.8,71,0,0,1,0,6.60123,6.448098
